record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
cn250_000001,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:22:44.127Z,2026-07-16T02:22:48.871Z,4743,req_011Cd4wUwBZyAdSscX6EjAGB,msg_011Cd4wUwWuijYA3WYkjhMPx,,end_turn,205,86,291,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, music, volcano, sadness, bicycle, bread, century",ok,10,cloud,justice,spoon,elephant,music,volcano,sadness,bicycle,bread,century,,git:39ce5b5
cn250_000002,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:22:49.249Z,2026-07-16T02:22:55.043Z,5794,req_011Cd4wVKNZ8ZMcLh9ZdzWeQ,msg_011Cd4wVKdgXeMNu2svPeUN9,,end_turn,205,98,303,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, melody, volcano, whisper, bicycle, hunger, galaxy",ok,10,cloud,justice,spoon,elephant,melody,volcano,whisper,bicycle,hunger,galaxy,,git:39ce5b5
cn250_000003,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:22:55.540Z,2026-07-16T02:23:04.667Z,9126,req_011Cd4wVnEqQpDKfSR6khoSV,msg_011Cd4wVpcTZyM2pNvhY6M2J,,end_turn,205,101,306,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, hammer, elephant, whisper, vinegar, galaxy, sadness, bicycle, mushroom",ok,10,cloud,freedom,hammer,elephant,whisper,vinegar,galaxy,sadness,bicycle,mushroom,,git:39ce5b5
cn250_000004,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:04.667Z,2026-07-16T02:23:10.752Z,6085,req_011Cd4wWSvGGD47oDxLZnKUv,msg_011Cd4wWT8AizWLXdfBS85iL,,end_turn,205,95,300,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, volcano, ant, melody, bicycle, cheese, gravity, sorrow",ok,10,cloud,spoon,freedom,volcano,ant,melody,bicycle,cheese,gravity,sorrow,,git:39ce5b5
cn250_000005,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:10.752Z,2026-07-16T02:23:15.950Z,5197,req_011Cd4wWtuhck1ckzJL8UVSi,msg_011Cd4wWuDZLpyxwxFoWQNQw,,end_turn,205,86,291,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, whale, melody, volcano, sadness, bicycle, ghost, breakfast",ok,10,cloud,justice,spoon,whale,melody,volcano,sadness,bicycle,ghost,breakfast,,git:39ce5b5
cn250_000006,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:15.950Z,2026-07-16T02:23:21.325Z,5375,req_011Cd4wXH5hYzERXnFZc1Ym9,msg_011Cd4wXHYjS8PmeFVD54DWJ,,end_turn,205,61,266,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, volcano, jealousy, bacteria, symphony, glacier, wallet, gravity",ok,10,cloud,freedom,spoon,volcano,jealousy,bacteria,symphony,glacier,wallet,gravity,,git:39ce5b5
cn250_000007,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:21.325Z,2026-07-16T02:23:26.617Z,5292,req_011Cd4wXgkF2LRcbWpFgrjKQ,msg_011Cd4wXhA3gidV9xd39CUH3,,end_turn,205,96,301,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, melody, volcano, whisper, bicycle, hunger, algebra",ok,10,cloud,justice,spoon,elephant,melody,volcano,whisper,bicycle,hunger,algebra,,git:39ce5b5
cn250_000008,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:26.618Z,2026-07-16T02:23:32.289Z,5671,req_011Cd4wY4xDtj34wMQQYejG7,msg_011Cd4wY5E6Vr5NDDUcqVQQV,,end_turn,205,90,295,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, tiger, music, volcano, sadness, bicycle, breakfast, algebra",ok,10,cloud,freedom,spoon,tiger,music,volcano,sadness,bicycle,breakfast,algebra,,git:39ce5b5
cn250_000009,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:32.686Z,2026-07-16T02:23:38.784Z,6097,req_011Cd4wYWkzjFzytcKZ4ndX1,msg_011Cd4wYX3NGhWZtpaxfJhKd,,end_turn,205,90,295,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, elephant, whisper, bread, algebra, volcano, sadness, wheel",ok,10,cloud,spoon,freedom,elephant,whisper,bread,algebra,volcano,sadness,wheel,,git:39ce5b5
cn250_000010,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n250,Western,No,2026,0.5,1.0,0-1,,2026-07-16T02:23:38.784Z,2026-07-16T02:23:43.740Z,4956,req_011Cd4wYxnRYMrfh4a6BTKKX,msg_011Cd4wYy7GQGkMaqdXQHLXB,,end_turn,205,88,293,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, justice, elephant, whisper, bicycle, honey, sadness, volcano, algebra",ok,10,cloud,spoon,justice,elephant,whisper,bicycle,honey,sadness,volcano,algebra,,git:39ce5b5
