record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
cn200_000001,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:25.588Z,2026-07-16T00:27:30.554Z,4965,req_011Cd4ngwdtVnmzJADgEFhKg,msg_011Cd4ngxG6dXFi5pxBgmD9p,,end_turn,205,87,292,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, elephant, volcano, whisper, bicycle, sadness, mushroom, algebra",ok,10,cloud,spoon,freedom,elephant,volcano,whisper,bicycle,sadness,mushroom,algebra,,git:db3e20f
cn200_000002,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:30.773Z,2026-07-16T00:27:36.193Z,5420,req_011Cd4nhM5Y15eaDawg6wVwp,msg_011Cd4nhMP961W8PVn5NrKcw,,end_turn,205,100,305,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"volcano, spoon, jealousy, octopus, algebra, whisper, tornado, biscuit, freedom, elbow",ok,10,volcano,spoon,jealousy,octopus,algebra,whisper,tornado,biscuit,freedom,elbow,,git:db3e20f
cn200_000003,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:36.194Z,2026-07-16T00:27:41.161Z,4967,req_011Cd4nhjGXKCnoahGvmNkDt,msg_011Cd4nhjXQYvvCT22jW8aza,,end_turn,205,88,293,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, justice, volcano, whisper, bicycle, jealousy, mushroom, algebra, tornado",ok,10,cloud,spoon,justice,volcano,whisper,bicycle,jealousy,mushroom,algebra,tornado,,git:db3e20f
cn200_000004,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:41.161Z,2026-07-16T00:27:46.103Z,4942,req_011Cd4ni6D7KEXRGT2bSzbH2,msg_011Cd4ni7HbNZaVhYiUABWU3,,end_turn,205,77,282,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bicycle, jellyfish, algebra, carpet, hunger",ok,10,cloud,justice,spoon,volcano,whisper,bicycle,jellyfish,algebra,carpet,hunger,,git:db3e20f
cn200_000005,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:46.359Z,2026-07-16T00:27:51.737Z,5377,req_011Cd4niUnucHEtnUV1x7tYA,msg_011Cd4niV2nzn3w3kAJVHwVm,,end_turn,205,144,349,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, laughter, bicycle, mushroom, gravity, tooth, marriage",ok,10,cloud,justice,spoon,volcano,laughter,bicycle,mushroom,gravity,tooth,marriage,,git:db3e20f
cn200_000006,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:51.893Z,2026-07-16T00:27:57.549Z,5656,req_011Cd4nismmvGqPqFtDiCpwS,msg_011Cd4nit4tAD1CRUcrZcLPQ,,end_turn,205,87,292,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bacteria, sadness, engine, honey, galaxy",ok,10,cloud,justice,spoon,volcano,whisper,bacteria,sadness,engine,honey,galaxy,,git:db3e20f
cn200_000007,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:27:57.550Z,2026-07-16T00:28:03.970Z,6420,req_011Cd4njJfjfH8qzUsK1vqhk,msg_011Cd4njK6n9kJD3JBozTdUQ,,end_turn,205,95,300,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, whisper, volcano, algebra, sadness, bicycle, honey",ok,10,cloud,justice,spoon,elephant,whisper,volcano,algebra,sadness,bicycle,honey,,git:db3e20f
cn200_000008,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:28:03.970Z,2026-07-16T00:28:08.874Z,4903,req_011Cd4njmdDP5hhbMr6uBL5V,msg_011Cd4njmtqi8wE6HJU8nBBo,,end_turn,205,93,298,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, justice, octopus, whisper, bicycle, cheese, volcano, sadness, thread",ok,10,cloud,hammer,justice,octopus,whisper,bicycle,cheese,volcano,sadness,thread,,git:db3e20f
cn200_000009,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:28:08.874Z,2026-07-16T00:28:14.149Z,5274,req_011Cd4nk8RN2ZvDkuBh4rSF8,msg_011Cd4nk8fVscgdxYmBKRSVf,,end_turn,205,83,288,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"volcano, spoon, jealousy, bacteria, symphony, glacier, democracy, butterfly, hammer, dream",ok,10,volcano,spoon,jealousy,bacteria,symphony,glacier,democracy,butterfly,hammer,dream,,git:db3e20f
cn200_000010,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:28:14.487Z,2026-07-16T00:28:19.433Z,4946,req_011Cd4nkYSF7ovvDJa39iyjA,msg_011Cd4nkZ7vCrGGdpZSeWAEB,,end_turn,205,80,285,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bicycle, honey, gravity, moth, birthday",ok,10,cloud,justice,spoon,volcano,whisper,bicycle,honey,gravity,moth,birthday,,git:db3e20f
cn200_000011,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:28:19.487Z,2026-07-16T00:28:24.959Z,5471,req_011Cd4nkusqNaGDwdctw7yTY,msg_011Cd4nkvy4zS8skm7bxhMTy,,end_turn,205,89,294,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, volcano, whisper, algebra, jellyfish, sadness, wheel, tomorrow",ok,10,cloud,freedom,spoon,volcano,whisper,algebra,jellyfish,sadness,wheel,tomorrow,,git:db3e20f
cn200_000012,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:28:24.959Z,2026-07-16T00:28:29.663Z,4703,req_011Cd4nmKBnt2kdkGEbcur9W,msg_011Cd4nmKPhHigss7u896wtX,,end_turn,205,91,296,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, laughter, volcano, freedom, bicycle, honey, shadow",ok,10,cloud,justice,spoon,elephant,laughter,volcano,freedom,bicycle,honey,shadow,,git:db3e20f
cn200_000013,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2026,0.5,1.0,0-1,,2026-07-16T00:28:29.887Z,2026-07-16T00:28:35.533Z,5645,req_011Cd4nmhwX7SrYzCxJinY3f,msg_011Cd4nmjTYvZm2WKrMeFgvQ,,end_turn,205,84,289,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"volcano, spoon, jealousy, bacteria, symphony, tractor, cloud, democracy, jellyfish, shadow",ok,10,volcano,spoon,jealousy,bacteria,symphony,tractor,cloud,democracy,jellyfish,shadow,,git:db3e20f
