record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
cn500_000001,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T15:41:13.065Z,2026-07-14T15:41:18.823Z,5757,req_011Cd2CkhQ2ZGPqumin75RV8,msg_011Cd2CkiprDxPdiCD12kDxY,,end_turn,205,91,296,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, freedom, banana, whale, music, volcano, sadness, bicycle, century",ok,10,cloud,hammer,freedom,banana,whale,music,volcano,sadness,bicycle,century,,git:a749760
cn500_000002,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:03.824Z,2026-07-14T16:36:09.076Z,5252,req_011Cd2GwFe16j6mMSv6t4jEh,msg_011Cd2GwFybQ6En9Sbqztaf7,,end_turn,205,97,302,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, freedom, elephant, soup, melody, volcano, sadness, bicycle, molecule",ok,10,cloud,hammer,freedom,elephant,soup,melody,volcano,sadness,bicycle,molecule,,git:f36d068
cn500_000003,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:07.256Z,2026-07-14T16:36:12.492Z,5236,req_011Cd2GwWNX9CKHyNAFySCxz,msg_011Cd2GwWqoKPALyp7YEAyfn,,end_turn,205,90,295,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, elephant, melody, volcano, sadness, bicycle, bread, infinity",ok,10,cloud,justice,spoon,elephant,melody,volcano,sadness,bicycle,bread,infinity,,git:f36d068
cn500_000004,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:09.327Z,2026-07-14T16:36:14.419Z,5092,req_011Cd2GwfPkbzx6vsGvbJQ7u,msg_011Cd2Gwfeda2FfhoFu59Xge,,end_turn,205,74,279,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, whisper, bacteria, sadness, tractor, melody, bone",ok,10,cloud,justice,spoon,volcano,whisper,bacteria,sadness,tractor,melody,bone,,git:f36d068
cn500_000005,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:12.743Z,2026-07-14T16:36:17.703Z,4960,req_011Cd2GwwLCZq7ocLWkWzDwX,msg_011Cd2Gwwdodn9VF8rrWyANu,,end_turn,205,75,280,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, volcano, laughter, bacteria, hammer, jealousy, ocean, clock",ok,10,cloud,freedom,spoon,volcano,laughter,bacteria,hammer,jealousy,ocean,clock,,git:f36d068
cn500_000006,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:14.670Z,2026-07-14T16:36:19.629Z,4958,req_011Cd2Gx4NNSekxePxH4fdtJ,msg_011Cd2Gx4cWAyj35UGbWQbE3,,end_turn,205,89,294,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, justice, banana, whisper, volcano, sadness, bicycle, ghost, algebra",ok,10,cloud,hammer,justice,banana,whisper,volcano,sadness,bicycle,ghost,algebra,,git:f36d068
cn500_000007,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:17.954Z,2026-07-14T16:36:23.744Z,5790,req_011Cd2GxHzAxZcyfNpoyJMiS,msg_011Cd2GxJGnG9tXhN6SH3QAG,,end_turn,205,93,298,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, freedom, spoon, whale, sadness, volcano, melody, bread, gravity, dance",ok,10,cloud,freedom,spoon,whale,sadness,volcano,melody,bread,gravity,dance,,git:f36d068
cn500_000008,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:19.171Z,2026-07-14T16:36:24.664Z,5492,req_011Cd2GxPCSvsLJormqom4cU,msg_011Cd2GxPV4ZAp4EHNDrMgPx,,end_turn,205,96,301,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, elephant, whisper, volcano, sadness, bicycle, honey, algebra",ok,10,cloud,spoon,freedom,elephant,whisper,volcano,sadness,bicycle,honey,algebra,,git:f36d068
cn500_000009,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:19.880Z,2026-07-14T16:36:24.966Z,5086,req_011Cd2GxSKDiYAKnNTRNVecK,msg_011Cd2GxSZrSkDi6p4PQgxF6,,end_turn,205,100,305,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, laughter, whale, gravity, symphony, mushroom, envy",ok,10,cloud,justice,spoon,volcano,laughter,whale,gravity,symphony,mushroom,envy,,git:f36d068
cn500_000010,Claude-Fable-5,claude-fable-5,claude-fable-5,anthropic,https://api.anthropic.com/v1,collect_2026_midpoint,Western,Yes,2026,0.5,1.0,0-1,,2026-07-14T16:36:23.995Z,2026-07-14T16:36:30.023Z,6027,req_011Cd2Gxk6oVnwkZt9i4NpTa,msg_011Cd2GxkaKvN4WhtN8wpdbq,,end_turn,205,87,292,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, justice, spoon, volcano, laughter, bacteria, wheel, honey, ghost, algebra",ok,10,cloud,justice,spoon,volcano,laughter,bacteria,wheel,honey,ghost,algebra,,git:f36d068
